,symbol,Date,Open,High,Low,Close/Last,Volume,Dividends,Stock Splits
1046,LCID,2020-12-14,9.960000038146973,9.979999542236328,9.9399995803833,9.979999542236328,1982500,0.0,0.0
1047,LCID,2020-12-11,9.960000038146973,9.960000038146973,9.90999984741211,9.9399995803833,900000,0.0,0.0
1048,LCID,2020-12-10,9.93000030517578,9.93000030517578,9.880000114440918,9.90999984741211,7606800,0.0,0.0
1049,LCID,2020-12-09,9.890000343322754,9.970000267028809,9.84000015258789,9.920000076293944,3394300,0.0,0.0
1050,LCID,2020-12-08,9.9399995803833,9.979999542236328,9.829999923706056,9.859999656677246,2296400,0.0,0.0
1051,LCID,2020-12-07,9.880000114440918,9.979999542236328,9.869999885559082,9.9399995803833,2085300,0.0,0.0
1052,LCID,2020-12-04,9.880000114440918,9.890000343322754,9.859999656677246,9.880000114440918,405400,0.0,0.0
1053,LCID,2020-12-03,9.880000114440918,9.880000114440918,9.859999656677246,9.869999885559082,513200,0.0,0.0
1054,LCID,2020-12-02,9.880000114440918,9.885000228881836,9.84000015258789,9.869999885559082,1441000,0.0,0.0
1055,LCID,2020-12-01,9.869999885559082,9.880000114440918,9.81999969482422,9.880000114440918,1394300,0.0,0.0
1056,LCID,2020-11-30,9.880000114440918,9.899999618530272,9.826000213623049,9.880000114440918,1623700,0.0,0.0
1057,LCID,2020-11-27,9.800000190734863,9.850000381469728,9.770000457763672,9.829999923706056,416200,0.0,0.0
1058,LCID,2020-11-25,9.760000228881836,9.765999794006348,9.699999809265137,9.760000228881836,1332400,0.0,0.0
1059,LCID,2020-11-24,9.779999732971191,9.779999732971191,9.699999809265137,9.760000228881836,57200,0.0,0.0
1060,LCID,2020-11-23,9.789999961853027,9.789999961853027,9.710000038146973,9.75,134400,0.0,0.0
1061,LCID,2020-11-20,9.710000038146973,9.734999656677246,9.6899995803833,9.710000038146973,995900,0.0,0.0
1062,LCID,2020-11-19,9.75,9.800000190734863,9.699999809265137,9.720000267028809,44500,0.0,0.0
1063,LCID,2020-11-18,9.739999771118164,9.739999771118164,9.670000076293944,9.739999771118164,301700,0.0,0.0
1064,LCID,2020-11-17,9.720000267028809,9.720000267028809,9.6899995803833,9.710000038146973,46000,0.0,0.0
1065,LCID,2020-11-16,9.699999809265137,9.729999542236328,9.6850004196167,9.699999809265137,151300,0.0,0.0
1066,LCID,2020-11-13,9.739999771118164,9.739999771118164,9.6899995803833,9.6899995803833,754800,0.0,0.0
1067,LCID,2020-11-12,9.670000076293944,9.720000267028809,9.670000076293944,9.699999809265137,1502000,0.0,0.0
