,symbol,Date,Open,High,Low,Close/Last,Volume,Dividends,Stock Splits
2455,ON,2015-05-12,12.300000190734863,12.460000038146973,12.15999984741211,12.40999984741211,2955300,0.0,0.0
2456,ON,2015-05-11,12.3100004196167,12.529999732971191,12.270000457763672,12.43000030517578,2572000,0.0,0.0
2457,ON,2015-05-08,12.199999809265137,12.359999656677246,12.100000381469728,12.300000190734863,2971000,0.0,0.0
2458,ON,2015-05-07,12.06999969482422,12.220000267028809,11.960000038146973,12.09000015258789,3860600,0.0,0.0
2459,ON,2015-05-06,12.140000343322754,12.31999969482422,11.93000030517578,12.100000381469728,2628100,0.0,0.0
2460,ON,2015-05-05,12.3100004196167,12.460000038146973,12.039999961853027,12.0600004196167,5235800,0.0,0.0
2461,ON,2015-05-04,12.640000343322754,13.119999885559082,12.43000030517578,12.5,13465600,0.0,0.0
2462,ON,2015-05-01,11.600000381469728,11.880000114440918,11.56999969482422,11.8100004196167,5236900,0.0,0.0
2463,ON,2015-04-30,11.68000030517578,11.75,11.5,11.520000457763672,2390000,0.0,0.0
2464,ON,2015-04-29,11.460000038146973,11.699999809265137,11.390000343322754,11.670000076293944,2075400,0.0,0.0
2465,ON,2015-04-28,11.5600004196167,11.699999809265137,11.470000267028809,11.5600004196167,3348900,0.0,0.0
2466,ON,2015-04-27,11.6899995803833,11.880000114440918,11.479999542236328,11.59000015258789,3074900,0.0,0.0
2467,ON,2015-04-24,12.25,12.25,11.3100004196167,11.619999885559082,8253100,0.0,0.0
2468,ON,2015-04-23,11.859999656677246,12.359999656677246,11.710000038146973,12.25,6275800,0.0,0.0
2469,ON,2015-04-22,12.229999542236328,12.510000228881836,12.140000343322754,12.359999656677246,6454000,0.0,0.0
2470,ON,2015-04-21,11.880000114440918,12.220000267028809,11.760000228881836,12.170000076293944,5632200,0.0,0.0
2471,ON,2015-04-20,11.880000114440918,11.949999809265137,11.739999771118164,11.8100004196167,3513000,0.0,0.0
2472,ON,2015-04-17,12.350000381469728,12.350000381469728,11.65999984741211,11.84000015258789,4353600,0.0,0.0
2473,ON,2015-04-16,11.93000030517578,12.399999618530272,11.859999656677246,12.369999885559082,7828800,0.0,0.0
2474,ON,2015-04-15,11.539999961853027,12.0,11.460000038146973,11.9399995803833,4960400,0.0,0.0
2475,ON,2015-04-14,11.649999618530272,11.670000076293944,11.420000076293944,11.460000038146973,2664900,0.0,0.0
2476,ON,2015-04-13,11.529999732971191,11.739999771118164,11.510000228881836,11.640000343322754,2112900,0.0,0.0
2477,ON,2015-04-10,11.550000190734863,11.59000015258789,11.479999542236328,11.579999923706056,1858500,0.0,0.0
2478,ON,2015-04-09,11.479999542236328,11.59000015258789,11.420000076293944,11.56999969482422,2148200,0.0,0.0
2479,ON,2015-04-08,11.56999969482422,11.649999618530272,11.460000038146973,11.520000457763672,2957700,0.0,0.0
2480,ON,2015-04-07,11.579999923706056,11.779999732971191,11.449999809265137,11.539999961853027,3774000,0.0,0.0
2481,ON,2015-04-06,11.5,11.640000343322754,11.399999618530272,11.539999961853027,3067100,0.0,0.0
2482,ON,2015-04-02,11.449999809265137,11.800000190734863,11.449999809265137,11.699999809265137,6482400,0.0,0.0
2483,ON,2015-04-01,11.510000228881836,11.550000190734863,11.079999923706056,11.489999771118164,21684800,0.0,0.0
2484,ON,2015-03-31,12.079999923706056,12.18000030517578,11.989999771118164,12.109999656677246,10621300,0.0,0.0
2485,ON,2015-03-30,11.850000381469728,12.170000076293944,11.829999923706056,12.130000114440918,11237700,0.0,0.0
2486,ON,2015-03-27,11.65999984741211,11.90999984741211,11.5600004196167,11.800000190734863,7660300,0.0,0.0
2487,ON,2015-03-26,11.710000038146973,11.789999961853027,11.43000030517578,11.630000114440918,9095800,0.0,0.0
2488,ON,2015-03-25,12.390000343322754,12.449999809265137,11.81999969482422,11.90999984741211,12645600,0.0,0.0
