symbol,Date,Open,High,Low,Close/Last,Volume,Dividends,Stock Splits
BKNG,2025-02-13,5059.4599609375,5079.08984375,4984.30517578125,5024.2900390625,148898,0.0,0.0
BKNG,2025-02-12,4877.02978515625,5020.66015625,4877.02978515625,5018.10986328125,198900,0.0,0.0
BKNG,2025-02-11,4896.06005859375,4931.77978515625,4863.60009765625,4897.31982421875,177400,0.0,0.0
BKNG,2025-02-10,4962.7099609375,4987.0,4905.990234375,4913.47998046875,191800,0.0,0.0
BKNG,2025-02-07,4884.89990234375,5072.7001953125,4869.0,4887.47021484375,430600,0.0,0.0
BKNG,2025-02-06,4730.64013671875,4847.0,4729.8798828125,4779.7099609375,428000,0.0,0.0
BKNG,2025-02-05,4688.43017578125,4778.68017578125,4684.06982421875,4699.39013671875,218600,0.0,0.0
BKNG,2025-02-04,4670.509765625,4728.56982421875,4655.8701171875,4678.93994140625,261800,0.0,0.0
BKNG,2025-02-03,4670.18994140625,4742.85986328125,4605.43017578125,4692.89990234375,251600,0.0,0.0
BKNG,2025-01-31,4796.0,4830.0,4711.0400390625,4737.56005859375,245200,0.0,0.0
BKNG,2025-01-30,4789.33984375,4789.33984375,4700.0498046875,4774.330078125,237000,0.0,0.0
BKNG,2025-01-29,4705.56005859375,4744.009765625,4688.77001953125,4721.85986328125,179100,0.0,0.0
BKNG,2025-01-28,4670.10009765625,4751.52001953125,4660.0,4684.68017578125,331000,0.0,0.0
BKNG,2025-01-27,4656.8701171875,4781.16015625,4656.8701171875,4675.35986328125,299600,0.0,0.0
BKNG,2025-01-24,4802.0,4828.0,4723.7900390625,4764.89013671875,240000,0.0,0.0
BKNG,2025-01-23,4620.64990234375,4822.4501953125,4609.0498046875,4818.14013671875,402300,0.0,0.0
BKNG,2025-01-22,4681.56005859375,4704.509765625,4595.91015625,4619.2099609375,372900,0.0,0.0
BKNG,2025-01-21,4925.4501953125,4934.6201171875,4615.0,4686.41015625,405900,0.0,0.0
BKNG,2025-01-17,4950.0,4976.9599609375,4894.4501953125,4926.7998046875,260100,0.0,0.0
BKNG,2025-01-16,4817.77978515625,4901.60009765625,4798.169921875,4865.0,188400,0.0,0.0
BKNG,2025-01-15,4851.72998046875,4899.5400390625,4815.7099609375,4829.64013671875,230300,0.0,0.0
BKNG,2025-01-14,4781.830078125,4809.080078125,4751.080078125,4778.81005859375,206100,0.0,0.0
BKNG,2025-01-13,4710.2900390625,4780.580078125,4660.31982421875,4763.89990234375,209900,0.0,0.0
BKNG,2025-01-10,4809.2099609375,4835.85009765625,4700.16015625,4739.5498046875,306200,0.0,0.0
BKNG,2025-01-08,4808.89990234375,4877.240234375,4785.5,4872.419921875,266300,0.0,0.0
BKNG,2025-01-07,4881.41015625,4889.35986328125,4788.0,4796.10009765625,220300,0.0,0.0
BKNG,2025-01-06,4942.669921875,4942.669921875,4845.5498046875,4909.7900390625,278200,0.0,0.0
BKNG,2025-01-03,4937.77978515625,4961.9501953125,4878.85986328125,4903.85009765625,165500,0.0,0.0
BKNG,2025-01-02,4990.669921875,5039.8798828125,4896.669921875,4925.2900390625,141300,0.0,0.0
BKNG,2024-12-31,4990.0,5007.22998046875,4963.259765625,4968.419921875,105300,0.0,0.0
BKNG,2024-12-30,4992.5,5016.47998046875,4938.0400390625,4990.8701171875,147700,0.0,0.0
BKNG,2024-12-27,5060.0,5078.64013671875,5016.1298828125,5037.39013671875,116500,0.0,0.0
BKNG,2024-12-26,5094.06005859375,5125.83984375,5092.7998046875,5096.0400390625,68700,0.0,0.0
BKNG,2024-12-24,5086.27001953125,5122.93994140625,5050.68994140625,5122.93994140625,78600,0.0,0.0
BKNG,2024-12-23,5066.7900390625,5071.39013671875,5005.1201171875,5063.1201171875,165200,0.0,0.0
BKNG,2024-12-20,4955.43017578125,5085.2099609375,4955.43017578125,5048.58984375,463800,0.0,0.0
BKNG,2024-12-19,4997.080078125,5020.66015625,4946.83984375,4980.39990234375,278200,0.0,0.0
BKNG,2024-12-18,5154.9599609375,5167.27001953125,4939.85009765625,4943.35009765625,316300,0.0,0.0
BKNG,2024-12-17,5129.0,5177.25,5109.83984375,5154.9599609375,220500,0.0,0.0
BKNG,2024-12-16,5206.64013671875,5231.39990234375,5141.18994140625,5152.1298828125,342500,0.0,0.0
BKNG,2024-12-13,5240.0,5260.41015625,5213.60009765625,5227.60986328125,164100,0.0,0.0
BKNG,2024-12-12,5300.0,5337.240234375,5255.64990234375,5268.93017578125,147500,0.0,0.0
BKNG,2024-12-11,5253.31982421875,5295.5498046875,5218.77978515625,5293.0,196400,0.0,0.0
BKNG,2024-12-10,5174.0,5223.669921875,5111.56982421875,5185.330078125,254700,0.0,0.0
BKNG,2024-12-09,5240.0,5280.2998046875,5142.080078125,5149.60009765625,273000,0.0,0.0
BKNG,2024-12-06,5260.0,5337.2001953125,5260.0,5300.33984375,188300,8.75,0.0
BKNG,2024-12-05,5245.186242286321,5321.180402856921,5191.395514982362,5279.18994140625,183700,0.0,0.0
BKNG,2024-12-04,5191.395635236085,5239.985023695538,5153.2289133628865,5234.484375,203200,0.0,0.0
BKNG,2024-12-03,5215.6354746788475,5249.499758714565,5195.558886013239,5205.751953125,195900,0.0,0.0
BKNG,2024-12-02,5197.795193585884,5224.5306666648385,5176.4604371856,5215.63525390625,205900,0.0,0.0
BKNG,2024-11-29,5168.79317892082,5221.346214984435,5168.79317892082,5193.37255859375,132700,0.0,0.0
BKNG,2024-11-27,5179.106037737936,5221.346087238762,5152.4602593191685,5214.50732421875,171100,0.0,0.0
