symbol,Date,Open,High,Low,Close/Last,Volume
GPN,2025-02-12,108.80500030517578,108.98999786376953,108.80000305175781,108.8499984741211,90048
GPN,2025-02-12,108.78500366210938,108.81999969482422,108.73999786376953,108.80500030517578,82344
GPN,2025-02-12,108.61000061035156,108.80000305175781,108.5999984741211,108.78500366210938,59012
GPN,2025-02-12,108.41999816894531,108.62999725341797,108.40499877929688,108.62999725341797,32727
GPN,2025-02-12,108.26000213623047,108.41999816894531,108.26000213623047,108.41000366210938,19419
GPN,2025-02-12,108.26000213623047,108.30000305175781,108.22000122070312,108.25499725341797,19472
GPN,2025-02-12,108.23999786376953,108.25700378417969,108.13999938964844,108.24500274658203,21776
GPN,2025-02-12,108.22000122070312,108.26000213623047,108.19999694824219,108.26000213623047,11065
GPN,2025-02-12,108.27020263671875,108.30000305175781,108.20500183105469,108.20500183105469,18733
GPN,2025-02-12,108.3499984741211,108.58000183105469,108.26000213623047,108.2699966430664,22068
GPN,2025-02-12,108.22039794921875,108.30000305175781,108.22000122070312,108.30000305175781,10478
GPN,2025-02-12,108.20700073242188,108.29900360107422,108.19499969482422,108.24500274658203,12566
GPN,2025-02-12,108.25499725341797,108.26000213623047,108.19000244140625,108.19000244140625,8103
GPN,2025-02-12,108.2699966430664,108.30000305175781,108.23999786376953,108.23999786376953,11244
GPN,2025-02-12,108.1500015258789,108.27999877929688,108.1500015258789,108.27999877929688,5815
GPN,2025-02-12,108.13999938964844,108.1449966430664,108.12999725341797,108.1449966430664,2658
GPN,2025-02-12,108.1500015258789,108.22000122070312,108.1500015258789,108.16000366210938,7903
GPN,2025-02-12,108.27999877929688,108.30000305175781,108.13999938964844,108.1500015258789,8103
GPN,2025-02-12,108.16999816894531,108.2699966430664,108.16999816894531,108.25,11329
GPN,2025-02-12,108.13999938964844,108.19999694824219,108.11000061035156,108.19499969482422,6971
GPN,2025-02-12,108.18000030517578,108.18000030517578,108.11000061035156,108.125,6020
GPN,2025-02-12,108.23999786376953,108.26000213623047,108.19999694824219,108.20999908447266,8232
GPN,2025-02-12,108.1500015258789,108.2300033569336,108.1500015258789,108.19499969482422,8600
GPN,2025-02-12,108.19000244140625,108.20899963378906,108.16000366210938,108.20899963378906,6947
GPN,2025-02-12,108.19719696044922,108.20500183105469,108.16000366210938,108.20500183105469,4349
GPN,2025-02-12,108.06999969482422,108.16999816894531,108.05999755859375,108.16999816894531,6641
GPN,2025-02-12,107.98999786376953,108.0999984741211,107.98999786376953,108.09500122070312,5567
GPN,2025-02-12,108.0,108.03500366210938,107.98999786376953,108.01000213623047,4231
GPN,2025-02-12,108.04499816894531,108.04499816894531,107.98999786376953,108.0,15712
GPN,2025-02-12,108.08000183105469,108.11499786376953,108.02999877929688,108.02999877929688,6985
GPN,2025-02-12,108.16000366210938,108.16999816894531,108.08000183105469,108.08000183105469,6415
GPN,2025-02-12,108.22000122070312,108.2300033569336,108.16000366210938,108.19000244140625,6280
GPN,2025-02-12,108.19499969482422,108.22000122070312,108.18000030517578,108.22000122070312,4640
GPN,2025-02-12,108.12999725341797,108.19249725341797,108.12000274658203,108.19249725341797,3384
GPN,2025-02-12,108.16999816894531,108.18000030517578,108.12999725341797,108.13500213623047,4509
GPN,2025-02-12,108.19999694824219,108.19999694824219,108.1500015258789,108.1500015258789,3975
GPN,2025-02-12,108.16300201416016,108.2249984741211,108.16000366210938,108.2249984741211,4575
GPN,2025-02-12,108.12000274658203,108.13999938964844,108.05999755859375,108.12999725341797,23286
GPN,2025-02-12,108.12999725341797,108.13999938964844,108.11000061035156,108.13999938964844,4343
GPN,2025-02-12,108.16000366210938,108.18000030517578,108.13999938964844,108.16699981689453,6478
GPN,2025-02-12,108.06500244140625,108.12999725341797,108.06500244140625,108.12999725341797,4853
GPN,2025-02-12,108.1050033569336,108.1050033569336,108.05000305175781,108.06500244140625,4778
GPN,2025-02-12,108.08000183105469,108.11000061035156,108.05999755859375,108.08999633789062,4496
GPN,2025-02-12,108.03500366210938,108.0989990234375,108.03500366210938,108.07499694824219,3427
GPN,2025-02-12,108.06999969482422,108.0999984741211,108.0199966430664,108.02999877929688,4389
GPN,2025-02-12,108.13999938964844,108.18499755859375,108.0999984741211,108.0999984741211,3097
GPN,2025-02-12,108.12000274658203,108.12750244140625,108.06500244140625,108.1050033569336,5067
GPN,2025-02-12,108.19499969482422,108.19499969482422,108.12999725341797,108.16000366210938,6168
GPN,2025-02-12,108.13999938964844,108.19000244140625,108.12000274658203,108.19000244140625,5765
GPN,2025-02-12,108.0999984741211,108.13999938964844,108.0999984741211,108.13999938964844,3426
GPN,2025-02-12,108.08999633789062,108.12999725341797,108.08000183105469,108.0999984741211,6505
GPN,2025-02-12,108.05999755859375,108.12359619140625,108.03500366210938,108.11000061035156,6340
GPN,2025-02-12,108.08999633789062,108.11000061035156,108.02999877929688,108.05999755859375,7191
GPN,2025-02-12,108.16000366210938,108.19000244140625,108.0999984741211,108.1050033569336,10086
GPN,2025-02-12,108.16000366210938,108.18000030517578,108.16000366210938,108.18000030517578,1879
GPN,2025-02-12,108.1500015258789,108.16999816894531,108.12999725341797,108.1500015258789,6127
GPN,2025-02-12,108.16999816894531,108.20999908447266,108.16000366210938,108.16999816894531,4765
GPN,2025-02-12,108.11000061035156,108.18000030517578,108.11000061035156,108.18000030517578,5144
GPN,2025-02-12,108.08499908447266,108.0999984741211,108.04000091552734,108.0875015258789,5825
GPN,2025-02-12,108.09500122070312,108.09500122070312,108.05000305175781,108.08000183105469,7442
