symbol,Date,Open,High,Low,Close/Last,Volume
RL,2025-02-12,273.1700134277344,273.260009765625,272.8599853515625,272.8999938964844,33268
RL,2025-02-12,273.4599914550781,273.5,273.135009765625,273.1449890136719,18257
RL,2025-02-12,273.385009765625,273.5,273.32501220703125,273.4599914550781,12167
RL,2025-02-12,272.9100036621094,273.3900146484375,272.9100036621094,273.3900146484375,17550
RL,2025-02-12,273.1659851074219,273.3900146484375,272.9200134277344,272.9599914550781,14811
RL,2025-02-12,273.1679992675781,273.25,273.1659851074219,273.1659851074219,3347
RL,2025-02-12,273.57000732421875,273.68359375,273.239990234375,273.2550048828125,5010
RL,2025-02-12,273.8299865722656,273.8399963378906,273.6600036621094,273.7250061035156,4135
RL,2025-02-12,273.8450012207031,273.93499755859375,273.7650146484375,273.8299865722656,3727
RL,2025-02-12,273.739990234375,274.20001220703125,273.6700134277344,273.8450012207031,6760
RL,2025-02-12,273.2799987792969,273.739990234375,273.2799987792969,273.739990234375,5213
RL,2025-02-12,273.1499938964844,273.1549987792969,273.1499938964844,273.1549987792969,928
RL,2025-02-12,273.05999755859375,273.32000732421875,273.05999755859375,273.1400146484375,3412
RL,2025-02-12,272.95001220703125,272.9800109863281,272.864990234375,272.864990234375,2719
RL,2025-02-12,272.6400146484375,273.0,272.5950012207031,272.94000244140625,5232
RL,2025-02-12,272.6099853515625,272.614990234375,272.6099853515625,272.614990234375,1051
RL,2025-02-12,272.57000732421875,272.5799865722656,272.3999938964844,272.3999938964844,3880
RL,2025-02-12,272.7799987792969,272.8500061035156,272.75,272.8500061035156,1944
RL,2025-02-12,272.789794921875,272.789794921875,272.7699890136719,272.7699890136719,384
RL,2025-02-12,272.6700134277344,272.8699951171875,272.6700134277344,272.8699951171875,3415
RL,2025-02-12,272.3699951171875,272.510009765625,272.3399963378906,272.44000244140625,3505
RL,2025-02-12,272.79998779296875,272.79998779296875,272.55999755859375,272.55999755859375,1872
RL,2025-02-12,272.57000732421875,272.80499267578125,272.57000732421875,272.80499267578125,3951
RL,2025-02-12,272.57000732421875,272.57000732421875,272.57000732421875,272.57000732421875,1030
RL,2025-02-12,272.55999755859375,272.55999755859375,272.55999755859375,272.55999755859375,931
RL,2025-02-12,272.6000061035156,272.6000061035156,272.5400085449219,272.56500244140625,2149
RL,2025-02-12,272.54998779296875,272.54998779296875,272.42498779296875,272.42498779296875,1145
RL,2025-02-12,272.375,272.5,272.375,272.42498779296875,2996
RL,2025-02-12,272.5150146484375,272.5150146484375,272.25,272.25,1502
RL,2025-02-12,272.489990234375,272.5450134277344,272.489990234375,272.510009765625,1373
RL,2025-02-12,272.75,272.75,272.75,272.75,488
RL,2025-02-12,272.6600036621094,272.8900146484375,272.6600036621094,272.8900146484375,1122
RL,2025-02-12,272.8550109863281,272.8550109863281,272.54998779296875,272.70001220703125,1871
RL,2025-02-12,272.79998779296875,272.8500061035156,272.7099914550781,272.7099914550781,1223
RL,2025-02-12,272.82000732421875,272.82000732421875,272.82000732421875,272.82000732421875,518
RL,2025-02-12,272.8299865722656,272.8299865722656,272.6600036621094,272.6600036621094,1350
RL,2025-02-12,272.6600036621094,272.8299865722656,272.6600036621094,272.8299865722656,2239
RL,2025-02-12,273.0,273.0,273.0,273.0,1087
RL,2025-02-12,273.0400085449219,273.0400085449219,272.95001220703125,272.95001220703125,1663
RL,2025-02-12,273.3299865722656,273.3999938964844,273.2149963378906,273.2149963378906,2646
RL,2025-02-12,273.54998779296875,273.55999755859375,273.5199890136719,273.5199890136719,1712
RL,2025-02-12,273.5249938964844,273.57000732421875,273.5249938964844,273.5249938964844,989
RL,2025-02-12,273.4750061035156,273.4750061035156,273.4750061035156,273.4750061035156,1849
RL,2025-02-12,273.5,273.5299987792969,273.42999267578125,273.4750061035156,2161
RL,2025-02-12,273.30499267578125,273.3900146484375,273.30499267578125,273.3900146484375,1157
RL,2025-02-12,273.31500244140625,273.3901062011719,273.30499267578125,273.3901062011719,1449
RL,2025-02-12,273.260009765625,273.2900085449219,273.260009765625,273.2900085449219,1283
RL,2025-02-12,273.385009765625,273.385009765625,273.385009765625,273.385009765625,436
RL,2025-02-12,273.364990234375,273.364990234375,273.364990234375,273.364990234375,1086
RL,2025-02-12,272.9599914550781,273.3662109375,272.9599914550781,273.3662109375,1767
RL,2025-02-12,272.8599853515625,272.8599853515625,272.8599853515625,272.8599853515625,1131
RL,2025-02-12,272.8599853515625,272.92999267578125,272.8599853515625,272.92999267578125,682
RL,2025-02-12,272.9100036621094,272.92999267578125,272.8599853515625,272.8800048828125,3005
RL,2025-02-12,272.81500244140625,272.81500244140625,272.81500244140625,272.81500244140625,671
RL,2025-02-12,272.739990234375,272.8500061035156,272.739990234375,272.81500244140625,2365
RL,2025-02-12,272.8399963378906,272.8399963378906,272.8399963378906,272.8399963378906,414
RL,2025-02-12,272.7900085449219,272.8500061035156,272.75,272.8500061035156,3463
RL,2025-02-12,272.70001220703125,272.7300109863281,272.70001220703125,272.7300109863281,1051
RL,2025-02-12,272.6099853515625,272.7099914550781,272.6099853515625,272.7099914550781,1396
RL,2025-02-12,272.739990234375,272.739990234375,272.739990234375,272.739990234375,680
RL,2025-02-12,272.68499755859375,272.68499755859375,272.68499755859375,272.68499755859375,396
RL,2025-02-12,272.82000732421875,272.82000732421875,272.82000732421875,272.82000732421875,651
RL,2025-02-12,272.6700134277344,272.68499755859375,272.6700134277344,272.68499755859375,909
RL,2025-02-12,272.7900085449219,272.79998779296875,272.75,272.7699890136719,975
