Close/Last,10to50SMA,10to50EMA,MACDSIG,MACDSIGchanged,normMACDSIGindicator,RSIindicator,RSIdifIndicator,ATRindicator,BBWClsPctDifIndicator,normOBVSMAindicator,buyingPressureIndicator,isPeakIndicator
212.1300048828125,-1,-1,-1,,0,0,0,1,0,-1,-1,0
208.80999755859372,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
207.1499938964844,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,1
207.2400054931641,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
209.6300048828125,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,2
206.42999267578125,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
208.05999755859372,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
203.52999877929688,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
205.8800048828125,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,1
203.75,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
205.0399932861328,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
206.33999633789065,-1,-1,-1,0.0,0,0,0,1,0,1,-1,0
207.69000244140625,-1,-1,-1,0.0,0,0,0,1,0,1,-1,0
214.22999572753903,-1,-1,1,2.0,0,0,0,1,0,1,1,0
213.30999755859372,-1,-1,1,0.0,1,1,0,0,0,1,-1,2
211.6199951171875,-1,-1,1,0.0,1,1,0,0,0,1,-1,0
210.38999938964844,-1,-1,1,0.0,0,1,0,0,0,-1,-1,0
204.3800048828125,-1,-1,1,0.0,0,0,0,0,0,-1,-1,0
203.38999938964844,-1,-1,-1,-2.0,0,0,0,0,0,-1,-1,1
204.4499969482422,-1,-1,-1,0.0,0,0,1,0,0,-1,-1,0
205.3000030517578,-1,-1,-1,0.0,0,0,0,0,0,-1,-1,0
203.2700042724609,-1,-1,-1,0.0,0,0,1,0,1,-1,-1,0
210.9499969482422,-1,-1,1,2.0,0,1,1,0,2,-1,-1,0
214.57000732421875,-1,-1,1,0.0,0,2,1,0,2,1,-1,2
212.69000244140625,-1,-1,1,0.0,1,2,0,0,2,-1,-1,0
216.77999877929688,-1,1,1,0.0,1,2,0,0,2,1,-1,2
213.6000061035156,-1,1,1,0.0,1,1,0,0,2,-1,-1,0
207.7400054931641,-1,1,1,0.0,0,0,0,0,0,-1,-1,0
205.44000244140625,-1,-1,1,0.0,0,0,0,0,0,-1,-1,1
207.3300018310547,-1,-1,-1,-2.0,0,0,1,0,0,-1,-1,0
210.5399932861328,-1,-1,1,2.0,0,1,1,0,0,-1,-1,2
208.3999938964844,-1,-1,-1,-2.0,0,1,1,0,0,-1,-1,0
