Close/Last,10to50SMA,10to50EMA,MACDSIG,MACDSIGchanged,normMACDSIGindicator,RSIindicator,RSIdifIndicator,ATRindicator,BBWClsPctDifIndicator,normOBVSMAindicator,buyingPressureIndicator,isPeakIndicator
53.00849914550781,-1,-1,-1,,0,0,0,1,0,-1,-1,0
52.94866180419922,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
52.75423812866211,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
53.08329772949219,-1,-1,-1,0.0,0,0,0,1,0,-1,-1,0
53.48713302612305,-1,1,1,2.0,0,0,0,1,0,1,1,0
53.05337524414063,-1,1,1,0.0,0,0,0,1,0,-1,-1,0
53.374961853027344,-1,1,1,0.0,0,0,0,1,0,1,1,0
53.60680770874024,-1,1,1,0.0,0,0,0,1,0,1,1,0
53.85358428955078,-1,1,1,0.0,0,0,0,1,0,1,1,0
54.22750473022461,-1,1,1,0.0,0,0,0,1,0,1,1,0
54.6562728881836,-1,1,1,0.0,0,0,0,1,0,1,1,0
53.71602630615234,-1,1,1,0.0,0,0,0,1,0,1,1,0
53.29474639892578,-1,1,1,0.0,0,0,0,1,0,1,1,0
53.35493469238281,-1,1,1,0.0,0,0,0,1,0,1,1,0
53.79124069213867,-1,1,1,0.0,0,1,0,0,0,1,1,0
54.69388961791992,-1,1,1,0.0,0,2,1,0,0,1,1,0
54.07707977294922,-1,1,1,0.0,0,2,0,0,0,1,1,0
52.85847091674805,-1,1,-1,-2.0,0,0,0,0,0,-1,1,0
52.18147277832031,-1,1,-1,0.0,0,0,0,0,0,-1,-1,0
51.63236618041992,-1,-1,-1,0.0,0,0,0,0,1,-1,-1,0
52.65537643432617,-1,-1,-1,0.0,0,0,1,0,0,-1,-1,0
52.51996994018555,-1,-1,-1,0.0,0,0,0,0,1,-1,-1,0
52.82841491699219,-1,-1,-1,0.0,0,0,0,0,0,-1,-1,0
52.52749252319336,-1,-1,-1,0.0,0,-1,0,0,0,-1,-1,0
52.68547439575195,-1,-1,-1,0.0,0,-1,0,0,0,-1,1,0
52.70803451538086,-1,-1,-1,0.0,0,0,1,0,0,1,1,0
51.88059616088867,-1,-1,-1,0.0,0,0,0,0,1,-1,-1,0
50.55669784545898,-1,-1,-1,0.0,0,-1,0,0,1,-1,-1,1
50.519081115722656,-1,-1,-1,0.0,0,-1,0,0,1,-1,-1,0
50.42127990722656,-1,-1,-1,0.0,0,-1,0,0,1,-1,-1,0
51.81289291381836,-1,-1,-1,0.0,0,-1,1,0,0,-1,-1,0
52.15891647338867,-1,-1,-1,0.0,0,0,1,0,0,-1,-1,0
52.22661590576172,-1,-1,-1,0.0,0,1,1,0,0,1,1,0
51.12837600708008,-1,-1,-1,0.0,0,0,0,0,1,-1,-1,0
50.97040557861328,-1,-1,-1,0.0,0,-1,0,0,1,-1,-1,0
50.639427185058594,-1,-1,-1,0.0,0,-1,0,0,1,-1,-1,0
50.59430313110352,-1,-1,-1,0.0,0,-1,0,0,1,-1,-1,0
51.76024627685547,-1,-1,-1,0.0,0,0,1,0,0,-1,-1,0
52.02352523803711,-1,-1,1,2.0,0,0,0,0,0,-1,-1,0
51.70006561279297,-1,-1,1,0.0,0,0,0,0,0,-1,-1,0
51.88059616088867,-1,-1,1,0.0,0,0,1,0,0,-1,-1,0
51.49696350097656,-1,-1,1,0.0,0,1,1,0,0,-1,-1,0
51.083255767822266,-1,-1,1,0.0,0,1,0,0,0,-1,-1,0
50.48146438598633,-1,-1,1,0.0,0,1,0,0,1,-1,-1,0
51.63236618041992,-1,-1,1,0.0,0,0,0,0,0,-1,-1,0
51.5797119140625,-1,-1,1,0.0,0,0,0,0,0,-1,-1,0
51.85802459716797,-1,-1,1,0.0,0,0,0,0,0,-1,-1,0
51.40669631958008,-1,-1,1,0.0,0,1,1,0,0,-1,-1,0
51.33146286010742,-1,-1,1,0.0,0,1,0,0,0,-1,-1,0
52.07618713378906,-1,-1,1,0.0,0,2,1,0,2,-1,-1,0
52.392120361328125,-1,-1,1,0.0,0,2,0,0,2,-1,-1,0
