StockID,MAE test loss (accuracy),train test loss dif %,fit
AMZN,1.5188575983047485,-0.23247582960803523,Marginal
CRWD,3.0796096324920654,1.22586340202348,Overfitting
GOOG,1.5049668550491333,-5.874282747322397,Underfitting
LMT,1.2306911945343018,-12.045605690675261,Underfitting
MSFT,1.369604229927063,-6.612399947718233,Underfitting
NVDA,2.8506598472595215,-5.595342195678787,Underfitting
ORCL,1.4735205173492432,-7.352526180803539,Underfitting
AAPL,1.4930824041366577,-11.737425372503257,Underfitting
QCOM,1.909458875656128,-5.948622495713648,Underfitting
TSLA,3.4599759578704834,-2.831827085780584,Underfitting
PLTR,4.876871109008789,3.6259570988695673,Overfitting
AMD,3.1890268325805664,-6.003037671383773,Underfitting
INTC,1.9041054248809814,-10.42846398396092,Underfitting
PYPL,1.9147250652313232,-9.60386584576013,Underfitting
MRNA,4.954041004180908,1.4306385173095075,Overfitting
META,1.801089882850647,-12.93489801111768,Underfitting
