symbol,Date,Open,High,Low,Close/Last,Volume
MCD,2025-02-12,307.5474853515625,307.69000244140625,307.3299865722656,307.5400085449219,90932
MCD,2025-02-12,307.3900146484375,307.6400146484375,307.3900146484375,307.4800109863281,48916
MCD,2025-02-12,307.4316101074219,307.5299987792969,307.36248779296875,307.3999938964844,35135
MCD,2025-02-12,307.4200134277344,307.6099853515625,307.4100036621094,307.510009765625,35836
MCD,2025-02-12,307.2300109863281,307.4800109863281,307.19000244140625,307.4150085449219,37977
MCD,2025-02-12,307.1700134277344,307.2099914550781,307.1000061035156,307.17999267578125,20199
MCD,2025-02-12,307.0799865722656,307.19000244140625,307.07501220703125,307.1300048828125,20938
MCD,2025-02-12,307.1600036621094,307.19500732421875,307.0400085449219,307.07000732421875,11660
MCD,2025-02-12,307.45001220703125,307.45001220703125,307.1499938964844,307.17999267578125,12374
MCD,2025-02-12,307.3599853515625,307.61248779296875,307.3599853515625,307.4700012207031,14969
MCD,2025-02-12,307.2300109863281,307.4599914550781,307.18310546875,307.3550109863281,10833
MCD,2025-02-12,307.04998779296875,307.29998779296875,307.04998779296875,307.19000244140625,7782
MCD,2025-02-12,306.79998779296875,307.0400085449219,306.79998779296875,307.0199890136719,7885
MCD,2025-02-12,306.7699890136719,306.8450012207031,306.75,306.79998779296875,6771
MCD,2025-02-12,306.8330993652344,306.95001220703125,306.7300109863281,306.8550109863281,13259
MCD,2025-02-12,306.7300109863281,306.8800048828125,306.7300109863281,306.8800048828125,8145
MCD,2025-02-12,306.8599853515625,306.8599853515625,306.739990234375,306.7699890136719,5826
MCD,2025-02-12,307.0,307.010009765625,306.7300109863281,306.7419738769531,8314
MCD,2025-02-12,306.8999938964844,306.9765930175781,306.898193359375,306.92498779296875,3398
MCD,2025-02-12,307.04998779296875,307.04998779296875,306.82000732421875,306.8999938964844,11096
MCD,2025-02-12,307.0450134277344,307.0450134277344,306.8900146484375,306.9549865722656,11109
MCD,2025-02-12,306.80499267578125,307.0400085449219,306.80499267578125,307.0400085449219,20332
MCD,2025-02-12,306.79998779296875,306.875,306.7099914550781,306.80499267578125,5493
MCD,2025-02-12,306.7799987792969,306.8699951171875,306.7550048828125,306.7900085449219,6422
MCD,2025-02-12,306.6000061035156,306.80999755859375,306.5400085449219,306.80999755859375,5744
MCD,2025-02-12,306.5400085449219,306.6000061035156,306.5350036621094,306.5400085449219,2431
MCD,2025-02-12,306.364990234375,306.5799865722656,306.364990234375,306.5249938964844,6610
MCD,2025-02-12,306.260009765625,306.4599914550781,306.260009765625,306.3299865722656,7012
MCD,2025-02-12,306.31500244140625,306.31500244140625,306.19000244140625,306.239990234375,8536
MCD,2025-02-12,305.864990234375,306.30999755859375,305.864990234375,306.30999755859375,14972
MCD,2025-02-12,305.80999755859375,305.8999938964844,305.80999755859375,305.864990234375,6530
MCD,2025-02-12,305.8599853515625,305.9200134277344,305.7699890136719,305.7699890136719,8462
MCD,2025-02-12,305.8576965332031,305.9200134277344,305.8576965332031,305.9200134277344,4208
MCD,2025-02-12,305.9200134277344,305.9599914550781,305.8399963378906,305.9200134277344,15606
MCD,2025-02-12,305.9725036621094,305.9725036621094,305.8999938964844,305.94500732421875,4510
MCD,2025-02-12,305.8900146484375,305.94500732421875,305.8800048828125,305.94500732421875,2451
MCD,2025-02-12,305.92498779296875,305.9674987792969,305.8999938964844,305.9200134277344,2791
MCD,2025-02-12,305.8599853515625,305.92498779296875,305.80999755859375,305.92498779296875,39878
MCD,2025-02-12,305.8599853515625,305.9100036621094,305.80999755859375,305.81060791015625,2941
MCD,2025-02-12,305.8399963378906,305.9219970703125,305.82000732421875,305.9100036621094,3554
MCD,2025-02-12,306.010009765625,306.010009765625,305.8399963378906,305.8399963378906,9105
MCD,2025-02-12,306.1300048828125,306.1300048828125,306.010009765625,306.010009765625,4314
MCD,2025-02-12,306.1600036621094,306.1994934082031,306.0899963378906,306.1449890136719,3297
MCD,2025-02-12,306.2099914550781,306.2799987792969,306.19000244140625,306.19000244140625,6063
MCD,2025-02-12,306.44500732421875,306.44500732421875,306.2099914550781,306.2749938964844,3696
MCD,2025-02-12,306.57000732421875,306.5899963378906,306.3599853515625,306.3599853515625,4284
MCD,2025-02-12,306.6300048828125,306.6650085449219,306.57000732421875,306.5899963378906,4480
MCD,2025-02-12,306.6700134277344,306.7298889160156,306.6300048828125,306.6600036621094,3143
MCD,2025-02-12,306.70001220703125,306.7799987792969,306.69000244140625,306.69000244140625,7563
MCD,2025-02-12,306.70001220703125,306.7799987792969,306.70001220703125,306.7650146484375,3805
MCD,2025-02-12,306.75,306.81500244140625,306.70001220703125,306.70001220703125,3191
MCD,2025-02-12,306.7681884765625,306.81500244140625,306.7099914550781,306.75,4671
MCD,2025-02-12,306.8599853515625,306.8599853515625,306.7099914550781,306.7799987792969,2489
MCD,2025-02-12,306.70001220703125,306.79998779296875,306.70001220703125,306.7950134277344,8935
MCD,2025-02-12,306.67999267578125,306.79901123046875,306.6600036621094,306.7099914550781,6477
MCD,2025-02-12,306.67999267578125,306.7149963378906,306.6300048828125,306.7149963378906,2169
MCD,2025-02-12,306.7149963378906,306.7149963378906,306.6300048828125,306.7049865722656,3842
MCD,2025-02-12,306.8500061035156,306.8500061035156,306.69000244140625,306.69000244140625,4154
MCD,2025-02-12,306.8299865722656,306.8699951171875,306.7200012207031,306.8450012207031,5359
MCD,2025-02-12,306.6951904296875,306.80999755859375,306.6951904296875,306.7799987792969,3541
MCD,2025-02-12,306.6000061035156,306.7200012207031,306.6000061035156,306.7200012207031,6755
